Query,answer_gold,50_median,50_cardinals,50_hnoun,50_hnoun_list,50_hnoun_freq,50_amod_freq,50_entities,precision_hnoun_50,correctness_hnoun_50,std_hnoun_50,precision_all_50,correctness_all_50,std_all_50
How many people died in the Space Shuttle Challenger?,7,7,"{7,5,1,7,7,7,7,9,9,7,1,7,5,14,7,7,67,7,7,7,6,3,7,1,7,11,7,7,7,7,14,7,7,14,7,7,7,2,9,7,5,2,7,14,7,7,6,1,7,7,7,7,7,14,7,7,14,7,7,3,7,9,14,7,7}",14.000,"{7: ""seven people"",14: ""14 people"",7: ""seven people"",7: ""The seven people"",14: ""14 people"",14: ""14 people"",14: ""14 people"",14: ""14 people"",14: ""14 people"",14: ""14 people""}",{10: people),{10: ),"{Life Sciences: (ORG,1,1.00),New Hampshire: (GPE,2,1.00),Americans: (NORP,2,1.00),American: (NORP,2,1.00),WASHINGTON: (GPE,1,1.00),US: (GPE,1,1.00),America: (GPE,1,1.00),MAC: (ORG,1,1.00),California: (GPE,1,1.00),STS: (ORG,1,1.00),mick hucknall: (PERSON,1,1.00),Downey: (GPE,1,1.00),Concord: (GPE,1,1.00),NASA: (ORG,9,1.00),Corrigan: (ORG,1,1.00),Space Shuttle: (FAC,3,1.00),Florida: (GPE,3,1.00),Columbia: (ORG,13,1.00),United States: (GPE,1,1.00),Earth: (LOC,2,1.00),Christa McAuliffe: (PERSON,5,1.00),Sally Ride: (PERSON,1,1.00),Mike Smith: (PERSON,1,1.00),Rockwell International's: (ORG,1,1.00),Apollo: (ORG,1,1.00),Adam: (PERSON,1,1.00),Shuttle: (ORG,1,1.00),Challenger: (PRODUCT,44,1.00),Cape Canaveral: (GPE,3,1.00)}",0,0.500,3.381,1,1.000,8.040
How many casualties did the Rana Plaza disaster have?,3634,491,"{2013,1100,2013,8,13,1134,1100,1,109,35,491,27,112,8,38,2013,1135,15,4000000,3,1129,4,1100,1110,8,1,1100,2500,7,1100,200,1129,17,1000000,1127,2500,1,112,301,1134,1134,17,1137}",,,,,,0,,,0,0.135,625110.699
How many people were affceted by the Bhopal gas tragedy?,500000,5000,"{15000,5000,15000,5,3787,2259,500000,500000,600000,1000000,25000,500000,600000,1,20000,500000,2,7,15000,500000,3500,25000,500000,5,3500,500000,92,336,1,15000,5,3783,200,400,1}",22500.000,"{15000: ""over 15,000 people"",5: ""more than five lakh people"",3787: ""3,787 people"",500000: ""Over 500,000 people"",1100000: ""500,000 to 600,000 people"",25000: ""an estimated 25,000 people"",500000: ""more than 500,000 people"",600000: ""Over 600,000 people"",20000: ""more than 20,000 people"",500000: ""more than 500,000 people"",500000: ""at least 500,000 people"",3500: ""3,500 people"",25000: ""as many as 25,000 people"",500000: ""more than 500,000 people"",3500: ""more than 3,500 people"",15000: ""over 15,000 people"",5: ""More than five lakh people"",3783: ""At least 3,783 people""}",{18: people),"{9: ,1: many,1: estimated,6: more,1: More}","Anderson: (PERSON,1,1.00),British: (NORP,1,1.00),American: (NORP,1,1.00),Google Images: (ORG,1,1.00),MiC: (PERSON,1,1.00),Agnihotra: (PERSON,2,1.00),Indian: (NORP,5,1.00),Isocyanate: (ORG,1,1.00),Union Carbide: (ORG,6,1.00),Bhopal: (GPE,45,1.00),Chernobyl: (GPE,1,1.00),India: (GPE,9,1.00),MIC: (ORG,8,1.00),Bhopal Disaster: (WORK_OF_ART,1,1.00),Russia: (GPE,1,1.00),Carbide: (PRODUCT,1,1.00),Germany: (GPE,1,1.00),Union: (ORG,1,1.00),Shakespeare: (PERSON,2,1.00)}",0,0.045,324304.969,0,0.010,270831.158
How many annual grants does Fulbright Program have?,8000,140,"{14,2,58,20,1,140,8,111790,140,80,300000,8000,160,390000,8000,160,3,46800,45200,800,380000,155,5,152231,12,1,2,155,40}",11.000,"{20: ""20 or more awards"",1: ""one grant"",80: ""as many as 80 Fulbright Grants"",3: ""one to two Fulbright grants""}","{1: grants,1: awards,1: grant,1: Grants}","{3: ,1: many}","Harvard College: (ORG,1,1.00),Afghanistan: (GPE,1,1.00),American: (NORP,4,1.00),Kabul: (GPE,1,1.00),US: (GPE,1,1.00),South Korea: (GPE,1,1.00),France: (GPE,1,1.00),Congressional: (ORG,1,1.00),Vassar College: (ORG,2,1.00),Commission: (ORG,1,1.00),Americans: (NORP,2,1.00),Norway: (GPE,1,1.00),Program: (ORG,4,1.00),Boston: (GPE,1,1.00),GSA: (ORG,1,1.00),UK: (GPE,1,1.00),English: (LANGUAGE,1,1.00),EU: (ORG,1,1.00),Fulbright Program: (ORG,3,1.00),India: (GPE,1,1.00),Mexico: (GPE,1,1.00),Denmark: (GPE,1,1.00),U.S: (GPE,1,1.00),Silicon Valley: (LOC,1,1.00),Spain: (GPE,1,1.00),Brussels: (GPE,1,1.00),Germany: (GPE,2,1.00),Jordan: (GPE,1,1.00),Austria: (GPE,4,1.00),Middle East: (LOC,1,1.00),Fulbright: (PERSON,9,1.00),Congress: (ORG,3,1.00),PhD: (WORK_OF_ART,7,1.00)}",0,0.001,36.995,0,0.018,112541.167
How many categories does Nobel Prize have?,6,12,"{590,935,27,908,567,889,25,3,6,6,16,2,3,597,950,4,3,892,48,2,23,881,1,383,6,24,6,6,5,550,51,2,1,5,216,180,12,5,6,6,866,53,24,17,50,28,16,8,18,6,10,6,13,1,22,14,12,4,5,2,13,12,7,12,3,5,3,3,2,573}",6.000,"{3: ""three different categories"",6: ""the six categories"",5: ""five categories"",6: ""six categories"",6: ""six categories""}",{5: categories},"{4: ,1: different}","Pakistan: (GPE,1,1.00),Turkish: (NORP,1,1.00),Earth: (LOC,1,1.00),Australian: (NORP,2,1.00),Johansson: (ORG,1,1.00),Adolf Hitler: (PERSON,1,1.00),Germany: (GPE,1,1.00),China: (GPE,1,1.00),British: (NORP,1,1.00),Nobel prize: (WORK_OF_ART,1,1.00),Mathematics: (ORG,1,1.00),India: (GPE,1,1.00),Sweden: (GPE,4,1.00),Trump: (PERSON,1,1.00),Economics: (LOC,1,1.00),Muslims: (NORP,1,1.00),Stockholm: (GPE,2,1.00),Medal: (PERSON,1,1.00),Physics: (NORP,1,1.00),France: (GPE,2,1.00),Peace: (ORG,2,1.00),Japanese: (NORP,1,1.00),Chinese: (NORP,2,1.00),Spain: (GPE,1,1.00),US: (GPE,1,1.00),Israelis: (NORP,1,1.00),Nobel Prize: (WORK_OF_ART,9,1.00),Swedish: (NORP,6,1.00),Obama: (ORG,1,1.00),John: (PERSON,1,1.00),UK: (GPE,1,1.00),Japan: (GPE,1,1.00),Cornell: (ORG,2,1.00),Poles: (NORP,3,1.00),Israel: (GPE,1,1.00),German: (NORP,2,1.00)}",1,1.000,1.304,0,0.500,294.713
How many members does European Union have?,27,27,"{27,447000000,27,28,100,1000000,27,1000000,1000000,9,9,28,6,27,40,27,27,28,28,1000000,853000,175000,155000,7,1,2,27,35,1,24,3,28,1,7,705,3,19,27,27,19,751,19,19,4422773,2,1707642,1,18}",366.000,"{28: ""28 members"",28: ""all 28 members"",705: ""705 members"",751: ""751 members""}",{4: members},{4: },"{EMU: (ORG,1,1.00),Romania: (GPE,1,1.00),European Parliament: (ORG,1,1.00),Netherlands: (GPE,2,1.00),Estonia: (GPE,1,1.00),Luxembourg: (GPE,2,1.00),Finland: (GPE,1,1.00),EPP: (ORG,1,1.00),Latvia: (GPE,1,1.00),eastern European: (NORP,1,1.00),Eurozone: (PRODUCT,1,1.00),State: (ORG,1,1.00),Council: (ORG,4,1.00),English: (LANGUAGE,1,1.00),United Kingdom: (GPE,1,1.00),Slovenia: (GPE,1,1.00),Malta: (GPE,1,1.00),Ireland: (GPE,1,1.00),euro: (ORG,1,1.00),Commission: (ORG,1,1.00),Winston Churchill's: (PERSON,1,1.00),European: (NORP,16,1.00),France: (GPE,3,1.00),German: (NORP,1,1.00),Italy: (GPE,2,1.00),French: (NORP,1,1.00),Asia: (LOC,1,1.00),Hungary: (GPE,1,1.00),Union: (ORG,6,1.00),EU: (ORG,48,1.00),Spanish: (NORP,2,1.00),Slovakia: (GPE,1,1.00),Europe: (LOC,7,1.00),Germany: (GPE,2,1.00),Euro: (LAW,2,1.00),Cyprus: (GPE,2,1.00),European Union: (ORG,6,1.00),Poland: (GPE,2,1.00),Lithuania: (GPE,2,1.00),Parliament: (ORG,3,1.00),Belgium: (GPE,2,1.00),UK: (GPE,1,1.00)}",0,0.074,404.581,1,1.000,64488189.770
How many countries does The United Nations have?,193,27,"{54,193,196,2,195,193,197,193,69,251,200,1,3,195,193,2,195,763,1,2,3,5,6,7,51,75,5,5,2,55,27,5,5,1,6}",193.000,"{54: ""54 countries"",193: ""193 member countries"",196: ""the world's 196 countries"",2: ""only two non-member states"",195: ""195 sovereign countries"",197: ""197 countries"",193: ""193 Member States"",251: ""251 countries"",200: ""fewer than 200 nations"",195: ""195 countries"",193: ""193 countries"",2: ""2 countries"",195: ""195 countries"",51: ""51 countries"",75: ""more than 75 countries"",55: ""55 sovereign states"",5: ""Only five countries""}","{1: States,13: countries,1: nations,2: states}","{12: ,2: sovereign,1: more,1: fewer,1: member}","United Nations: (WORK_OF_ART,5,1.00),Vienna: (GPE,2,1.00),Russian: (LANGUAGE,1,1.00),United States: (GPE,1,1.00),South Ossetia: (GPE,1,1.00),Nairobi: (GPE,3,1.00),Taiwan: (GPE,4,1.00),New York: (GPE,1,1.00),UN: (ORG,20,1.00),Thailand: (GPE,1,1.00),EU: (ORG,1,1.00),Czechoslovakia: (GPE,1,1.00),United: (ORG,1,1.00),France: (GPE,1,1.00),Russia: (GPE,1,1.00),Geneva: (GPE,1,1.00),English: (LANGUAGE,4,1.00),CNN: (ORG,1,1.00),Japan: (GPE,1,1.00),Chinese: (LANGUAGE,1,1.00),Spanish: (LANGUAGE,1,1.00),Kiribati: (PERSON,1,1.00),Kosovo: (GPE,4,1.00),Bangkok: (GPE,1,1.00),China: (GPE,2,1.00),French: (NORP,2,1.00),Germany: (GPE,1,1.00),Asia: (LOC,2,1.00),Senate: (ORG,1,1.00),world war: (EVENT,1,1.00),Pacific: (LOC,2,1.00),Palestine: (GPE,2,1.00),Recognition: (ORG,1,1.00),Czech: (NORP,1,1.00),Kenya: (GPE,1,1.00),Africa: (LOC,1,1.00),Arabic: (NORP,1,1.00),Water: (ORG,1,1.00),Italy: (GPE,1,1.00),ISO: (ORG,1,1.00),Nations: (GPE,1,1.00)}",1,1.000,87.294,0,0.140,145.886
How many states does India have?,29,28,"{28,8,36,29,7,28,8,1000000000,1,1000000000,28,8,29,7,1,2020,736,640,593,17,1,3,5,1500,800,25,4,1,50,5,48,400,28,8,9,30,29,6,29,28,8,3,9,195,193,2,195,50,52,50,14,1352642280,1000000000,7,5,12,28,22,50,48,2}",29.000,"{28: ""28 states"",29: ""29 states"",28: ""28 states"",28: ""28 states"",29: ""29 states"",17: ""17 provinces"",25: ""25 states"",50: ""50 states"",48: ""The 48 contiguous states"",28: ""28 states"",29: ""its 29 States"",29: ""29 states"",28: ""=Administrative Divisions - 28 States"",9: ""9 states"",195: ""195 countries"",193: ""193 countries"",2: ""2 countries"",195: ""195 countries"",102: ""50 or 52 States"",50: ""50 states"",28: ""the 28 states"",22: ""22 states"",50: ""50 states"",48: ""48 states"",2: ""The other two states""}","{3: States,1: provinces,4: countries,17: states}","{23: ,1: other,1: contiguous}","Meghalaya: (PERSON,1,1.00),Christian: (NORP,1,1.00),Bhutan: (GPE,1,1.00),Hinduism: (NORP,2,1.00),British India: (ORG,1,1.00),Nicobar Islands: (GPE,1,1.00),Hawaii: (GPE,3,1.00),Indian: (NORP,11,1.00),km: (PERSON,1,1.00),Canada: (GPE,2,1.00),South America: (LOC,1,1.00),Christianity: (ORG,1,1.00),Eurasia: (ORG,1,1.00),Haryana: (GPE,1,1.00),Russia: (GPE,1,1.00),British: (NORP,1,1.00),Beng: (PERSON,1,1.00),IST: (ORG,1,1.00),Hindi: (PERSON,1,1.00),Agni: (ORG,1,1.00),Manipur: (ORG,1,1.00),Bangladesh: (GPE,1,1.00),Hindus: (NORP,1,1.00),States: (GPE,1,1.00),Washington: (GPE,2,1.00),Nepal: (GPE,1,1.00),North America: (LOC,2,1.00),Taiwan: (GPE,1,1.00),Hindu: (NORP,1,1.00),Pakistan: (GPE,2,1.00),Himalayan: (PERSON,1,1.00),Mahatma Gandhi: (PERSON,1,1.00),Mizoram: (GPE,1,1.00),Maldives: (GPE,1,1.00),Sri Lanka: (GPE,2,1.00),Mexico: (GPE,2,1.00),Jammu: (GPE,2,1.00),South Asia: (LOC,1,1.00),ASEAN: (ORG,1,1.00),Japan: (GPE,1,1.00),United States: (GPE,2,1.00),Sikh: (PERSON,1,1.00),Nagaland: (ORG,1,1.00),INDIAN: (ORG,1,1.00),Notes: (PRODUCT,1,1.00),Punjab: (PERSON,3,1.00),Africa: (LOC,1,1.00),Telangana: (GPE,1,1.00),Asia: (LOC,2,1.00),Rajasthan: (GPE,1,1.00),Delhi: (GPE,2,1.00),Uttar Pradesh: (ORG,2,1.00),Alaska: (GPE,2,1.00),Northeast India: (LOC,2,1.00),Delaware: (GPE,1,1.00),America: (GPE,1,1.00),American: (NORP,2,1.00),India: (GPE,56,1.00),Uttarakhand: (GPE,1,1.00),Andaman: (NORP,2,1.00),Lakes: (GPE,1,1.00),UT: (ORG,1,1.00),South Korea: (GPE,1,1.00),Commission: (ORG,1,1.00),Kashmir: (LOC,2,1.00)}",1,1.000,57.226,0,0.966,274440585.201
How many songs did Irvin Berlin compose?,1250,19,"{900,19,18,1,900,19,900,19,18,8,800,900,19,18,1,1,1500,5,2,250,50,1500,1,1500,1,900,19,18,1500,1,900,19,18,1500,1,50000000,100000000}",900.000,"{900: ""more than 900 songs"",900: ""more than 900 songs"",900: ""more than 900 songs"",800: ""over eight hundred songs"",900: ""more than 900 songs"",1500: ""1,500 songs"",1500: ""about 1,500 songs"",1500: ""about 1,500 songs"",900: ""more than 900 songs"",1500: ""about 1,500 songs"",900: ""more than 900 songs"",1500: ""about 1,500 songs""}",{12: songs},"{6: ,6: more}","{Russia: (GPE,4,1.00),Manhattan: (GPE,1,1.00),Imperial: (ORG,1,1.00),Capitol: (FAC,1,1.00),Cole: (ORG,1,1.00),irving Berlin: (PERSON,1,1.00),CCC: (ORG,1,1.00),Leah: (GPE,1,1.00),George Gershwin: (PERSON,1,1.00),New York: (GPE,2,1.00),Yiddish: (GPE,1,1.00),Fred Astaire: (PERSON,1,1.00),Belarus: (GPE,2,1.00),US: (GPE,1,1.00),George Gershwin's: (PERSON,1,1.00),Catholic: (NORP,1,1.00),Israel: (GPE,3,1.00),Broadway: (FAC,5,1.00),Russian: (NORP,1,1.00),Indiana: (GPE,1,1.00),Ares: (PERSON,1,1.00),NY: (GPE,1,1.00),Irving Berlin's: (PERSON,3,1.00),Izzy: (PERSON,1,1.00),Jewish: (NORP,2,1.00),Dallas: (GPE,1,1.00),Porter: (ORG,1,1.00),Easter: (PERSON,1,1.00),Americans: (NORP,2,1.00),Cassius: (ORG,1,1.00),Crosby: (ORG,1,1.00),Adam Sandler: (PERSON,2,1.00),Eminem: (PERSON,1,1.00),America: (GPE,2,1.00),Irving Berlin: (PERSON,50,1.00),american: (NORP,1,1.00),Berlin: (GPE,12,1.00),GI: (ORG,1,1.00),Bing Crosby: (PERSON,2,1.00),Jews: (NORP,1,1.00),American: (NORP,7,1.00),Irish: (NORP,1,1.00)}",0,0.720,317.543,0,0.015,18174903.757
How many songs did The Beatles compose?,213,18,"{213,4,188,25,218,13,7,2,213,188,25,213,50,22,1,5,1,213,72,18,20,4,2626,1,275,17,8,200,2,1,13,6,4,100,1,20,1,40,3,1,373}",213.000,"{213: ""213 songs"",218: ""218 songs"",213: ""213 songs"",213: ""All 213 Beatles Songs"",18: ""18 songs"",275: ""275 BeaTles songs"",100: ""every top 100 song"",1: ""How many number one songs"",40: ""John Lennon's top 40 songs""}","{1: Songs,7: songs,1: song}","{6: ,1: many,2: top}","Parker: (PERSON,1,1.00),John Lennon's: (PERSON,1,1.00),John Lennon: (PERSON,8,1.00),Elvis Presley: (PERSON,2,1.00),Sweden: (GPE,1,1.00),George Harrison: (PERSON,6,1.00),ORIGINAL: (ORG,1,1.00),UK: (GPE,1,1.00),john Lennon: (PERSON,1,1.00),Anthology: (ORG,1,1.00),USA: (GPE,1,1.00),American: (NORP,1,1.00),McCartney: (PERSON,9,1.00),Liverpool: (GPE,2,1.00),Starkey: (PERSON,1,1.00),Ringo Starr: (PERSON,3,1.00),Ono: (PERSON,1,1.00),Paul: (PERSON,8,1.00),English: (NORP,2,1.00),Beatles: (PERSON,38,1.00),Fantastic: (ORG,1,1.00),Harrison: (PERSON,1,1.00),George Martin: (PERSON,2,1.00),jennifer: (PERSON,1,1.00),Paul McCartney: (PERSON,8,1.00),John: (PERSON,7,1.00)}",1,1.000,103.679,0,0.085,411.104
How many crew members did Forrest Gump have?,163,2,"{6,1,2,1,2,6,5,6,25,1,1,2,12,13,8,1,2,2,1}",1.000,"{1: ""One member""}",{1: member},{1: },"{CHAIR: (ORG,1,1.00),van: (PERSON,1,1.00),Dan: (PERSON,2,1.00),Mac: (PERSON,1,1.00),All-American: (NORP,1,1.00),Richard Nixon: (PERSON,1,1.00),New York: (GPE,1,1.00),Academy Award: (ORG,1,1.00),Beaufort: (GPE,1,1.00),South: (LOC,1,1.00),Blu-ray: (PERSON,1,1.00),Jenny: (PERSON,1,1.00),Georgia: (GPE,2,1.00),Savannah: (GPE,1,1.00),Cortez: (ORG,1,1.00),Southern: (NORP,1,1.00),CCC: (ORG,1,1.00),Mobile: (GPE,1,1.00),Earth: (LOC,1,1.00),Nike: (ORG,1,1.00),Groom: (ORG,1,1.00),Army: (ORG,1,1.00),Paris: (GPE,1,1.00),linda: (PERSON,1,1.00),South Carolina: (GPE,2,1.00),Dallas: (GPE,1,1.00),Polio: (PERSON,1,1.00),Gordon: (PERSON,1,1.00),Kennedy: (PERSON,2,1.00),Sally Field: (PERSON,2,1.00),Alabama: (ORG,3,1.00),STUDY: (PERSON,1,1.00),Vietnam: (GPE,2,1.00),GI: (ORG,1,1.00),Oscar: (PERSON,2,1.00),DVD: (ORG,1,1.00),Apollo: (PERSON,1,1.00),Coleman: (WORK_OF_ART,1,1.00),American: (NORP,4,1.00),Forrest: (PERSON,11,1.00),Tom Hanks: (PERSON,10,1.00)}",0,0.006,,0,0.012,6.082
How many academic faculty does Saarland University have?,2823,5,"{4,3,20,3,1,1,2,30,6,16,4,17,250,1,13,115,4,3,12,3,10,50}",3.000,"{4: ""four faculties"",3: ""three faculties""}",{2: faculties},{2: },"Brandenburg: (GPE,2,1.00),X: (PERSON,1,1.00),SDSU: (ORG,1,1.00),Paris: (GPE,1,1.00),MFA: (ORG,1,1.00),Humanities: (NORP,1,1.00),German: (NORP,1,1.00),Netherlands: (GPE,1,1.00),Social Sciences: (ORG,1,1.00),Canada: (GPE,1,1.00),UK: (GPE,1,1.00),PhD: (WORK_OF_ART,1,1.00),Senate: (ORG,1,1.00),US: (GPE,1,1.00),Notch: (ORG,1,1.00),British: (NORP,1,1.00),Europe: (LOC,2,1.00),Oregon: (GPE,1,1.00),New Zealand: (GPE,1,1.00),UF: (GPE,1,1.00),State: (ORG,1,1.00),Potsdam: (GPE,1,1.00),Capstone: (ORG,1,1.00),Germany: (GPE,3,1.00),Saarland: (GPE,1,1.00),Australia: (GPE,1,1.00),North American: (NORP,1,1.00),Nobel: (WORK_OF_ART,1,1.00),Faculty: (ORG,1,1.00)}",0,0.001,0.707,0,0.002,56.038
